long_name,overall,potential,height_cm,weight_kg,weak_foot,skill_moves,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,cf,cm,cb,gk,AttackWorkRate,DefenseWorkRate,position_Defender,position_Forward,position_Goalkeeper,position_Midfielder,preferred_foot_Left,preferred_foot_Right,tag_Acrobat,tag_Aerial Threat,tag_Clinical Finisher,tag_Complete Defender,tag_Complete Forward,tag_Complete Midfielder,tag_Crosser,tag_Distance Shooter,tag_Dribbler,tag_Engine,tag_FK Specialist,tag_Playmaker,tag_Poacher,tag_Speedster,tag_Strength,tag_Tackling,tag_Tactician,traits_Cautious With Crosses,traits_Chip Shot (AI),traits_Comes For Crosses,traits_Dives Into Tackles (AI),traits_Early Crosser,traits_Finesse Shot,traits_Flair,traits_GK Long Throw,traits_Giant Throw-in,traits_Injury Prone,traits_Leadership,traits_Long Passer (AI),traits_Long Shot Taker (AI),traits_Long Throw-in,traits_Outside Foot Shot,traits_Playmaker (AI),traits_Power Free-Kick,traits_Power Header,traits_Rushes Out Of Goal,traits_Saves with Feet,traits_Solid Player,traits_Speed Dribbler (AI),traits_Team Player,traits_Technical Dribbler (AI)
Rebecca Elizabeth Sauerbrunn,86,86,170,64,3,3,68.0,44.0,61.0,69.0,89.0,84.0,51,39,86,71,37,65,54,38,63,74,69,67,60,79,63,47,86,73,91,47,78,88,50,61,56,82.0,92,87,89,15,12,7,10,11,0.0,62,71,86,22,0.5,1.0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Alexandra Morgan Carrasco,90,90,168,62,4,4,89.0,91.0,80.0,88.0,47.0,77.0,71,95,86,91,87,87,68,70,82,93,88,89,83,84,67,90,81,87,81,83,53,46,92,75,88,92.0,41,43,39,11,11,10,10,11,0.0,89,85,63,22,1.0,0.0,0,1,0,0,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Alexandra Popp,87,87,174,65,5,3,79.0,88.0,76.0,82.0,55.0,82.0,74,87,92,84,89,82,73,73,59,86,78,79,71,89,70,89,88,80,82,87,84,59,90,79,86,81.0,45,52,48,12,14,13,7,14,0.0,85,81,70,23,1.0,1.0,0,1,0,0,1,0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Almuth Schult,84,84,180,71,2,1,0.0,0.0,0.0,0.0,0.0,0.0,11,11,11,25,13,9,14,25,24,23,35,42,35,78,40,62,61,30,78,11,35,13,13,34,20,45.0,17,10,11,84,83,82,86,84,38.0,27,29,30,84,0.5,0.5,0,0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Dzsenifer Marozsán,84,84,171,67,4,5,77.0,82.0,87.0,86.0,57.0,73.0,89,78,61,88,88,89,92,89,80,89,78,76,80,80,68,89,67,64,79,83,73,69,80,85,90,86.0,55,53,51,8,10,15,9,12,0.0,83,84,68,21,1.0,0.0,0,0,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Kelley Maureen O'Hara,83,83,165,55,3,3,87.0,60.0,71.0,76.0,81.0,74.0,81,54,78,79,58,72,59,40,71,78,86,87,80,74,79,73,69,79,76,64,62,79,53,58,58,86.0,82,80,84,14,11,15,12,8,0.0,69,75,81,21,0.5,1.0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Christen Annemarie Press,86,86,168,58,3,4,88.0,87.0,78.0,85.0,46.0,74.0,75,88,84,86,80,84,78,62,75,90,87,89,90,84,64,86,80,86,73,87,62,43,87,71,82,80.0,42,42,38,15,14,9,11,11,0.0,85,82,62,23,1.0,0.0,0,1,0,0,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Megan Anna Rapinoe,86,86,165,60,4,4,79.0,86.0,85.0,87.0,46.0,72.0,89,89,72,87,70,88,91,88,78,90,78,79,80,84,79,84,63,70,75,85,67,47,90,80,92,91.0,41,45,39,15,12,14,14,11,0.0,86,83,61,24,1.0,0.5,0,1,0,0,0,1,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alyssa Michele Naeher,85,85,173,64,3,1,0.0,0.0,0.0,0.0,0.0,0.0,17,13,16,23,12,16,14,15,38,15,43,46,61,76,56,62,66,41,43,14,28,23,13,14,42,49.0,18,19,20,87,81,83,87,84,44.0,26,29,30,85,0.5,0.5,0,0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Crystal Alyssia Dunn Soubrier,84,84,155,55,4,4,86.0,77.0,83.0,85.0,77.0,78.0,83,76,54,86,75,84,80,67,82,87,86,86,85,81,92,80,46,84,79,76,75,79,85,84,80,83.0,81,80,79,12,13,9,8,16,0.0,83,84,80,23,1.0,1.0,0,0,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
